Station number,Station name,Jurisdiction,Latitude,Longitude,Number of docks
M32026,359 Broadway - Broadway at Fayette Street,Cambridge,42.370803,-71.104412,19
A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351246,-71.115639,19
M32033,Alewife Station at Russell Field,Cambridge,42.396105,-71.139459,23
A32017,Allston Green District - Commonwealth Ave & Griggs St,Boston,42.348607,-71.13401,15
M32037,Ames St at Main St,Cambridge,42.3625,-71.08822,19
C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330716,-71.057044,15
B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,19
A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350406,-71.108279,11
C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,19
S32003,Beacon St at Washington / Kirkland,Somerville,42.37842,-71.105668,15
B32020,BIDMC - Brookline at Burlington St,Boston,42.345733,-71.100694,15
M32027,Binney St / Sixth St,Cambridge,42.366095,-71.086388,19
D32018,Boston Convention & Exhibition Center,Boston,42.3475,-71.0441,19
C32002,Boston Medical Center -  East Concord at Harrison Ave,Boston,42.336437,-71.073089,19
D32005,Boston Public Library - 700 Boylston St.,Boston,42.349673,-71.077303,25
B32018,Boylston / Mass Ave,Boston,42.347265,-71.088088,15
C32008,Boylston at Fairfield,Boston,42.348762,-71.082383,19
D32013,Boylston St / Berkeley St,Boston,42.350989,-71.073644,15
D32019,Boylston St / Washington St,Boston,42.352409,-71.062679,15
D32007,Boylston St. at Arlington St.,Boston,42.352033,-71.070627,23
B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,15
K32003,Brookline Village - Station Street @ MBTA,Brookline,42.332799,-71.116205,15
A32008,Buswell St. at Park Dr.,Boston,42.347241,-71.105301,15
M32013,Cambridge Main Library at Broadway / Trowbridge St,Cambridge,42.373379,-71.111075,19
M32007,Cambridge St - at Columbia St / Webster Ave,Cambridge,42.372969,-71.094445,15
D32000,Cambridge St. at Joy St.,Boston,42.361174,-71.065142,15
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge,42.366981,-71.076472,15
